Engine rpm;Lub oil pressure;Fuel pressure;Coolant pressure;lub oil temp;Coolant temp;Engine Condition
773;3.348.316.697;6.890.316.204;3.393.287.895;7.398.528.303;6.824.275.096;1
796;46.085.522;5.398.473.736;1.846.249.309;8.333.728.981;7.737.975.031;0
591;4.869.288.101;7.860.033.003;2.781.762.808;7.600.480.045;6.666.709.751;1
455;4.759.290.152;1.397.116.025;2.448.630.195;8.060.016.369;7.581.192.539;1
1053;2.533.847.042;4.212.193.982;4.705.473.891;7.584.209.778;7.598.157.237;0
646;2.157.195.801;8.454.512.251;3.033.518.045;7.520.562.731;8.628.989.581;1
799;4.634.378.309;1.231.190.941;3.168.087.939;7.757.523.258;7.408.360.477;1
1348;3.500.386.605;7.286.885.806;1.463.265.044;8.447.375.281;8.149.140.597;1
635;2.760.153.323;6.629.578.742;2.021.019.903;7.635.883.025;6.840.312.615;1
939;3.836.724.143;2.713.572.365;1.868.092.924;7.625.914.474;8.399.973.769;0
657;4.280.497.173;2.951.999.184;397.608.778;7.574.857.535;8.719.195.786;0
708;2.947.438.925;5.088.072.943;2.924.952.052;7.746.225.949;769.100.848;1
1007;2.985.704.682;477.585.741;2.045.025.408;769.033.516;8.208.852.547;1
773;3.195.954.786;7.745.653.511;4.534.210.375;7.585.403.748;8.637.386.013;1
1385;2.856.924.439;5.272.285.313;2.004.513.685;7.562.032.791;8.538.164.882;1
659;3.129.533.562;3.961.213.245;1.047.239.056;8.395.811.494;7.576.059.821;0
751;456.511.134;4.393.172.046;2.483.414.776;7.653.348.164;904.327.609;1
591;2.761.086.478;5.205.312.086;2.167.501.472;7.862.024.306;8.132.327.912;1
1046;2.981.362.948;6.288.947.858;1.117.251.809;7.770.409.464;835.552.392;0
829;3.422.599.762;6.108.972.885;2.285.778.328;8.645.666.983;7.493.880.147;0
961;1.264.996.627;6.910.787.425;2.226.115.809;7.604.902.198;9.203.931.827;1
696;5.115.436.256;1.196.971.897;1.451.358.043;7.580.494.139;8.265.265.028;1
852;3.371.740.933;5.809.203.168;1.426.231.004;7.655.381.668;7.233.909.464;1
706;2.817.028.083;5.381.253.176;2.248.736.143;7.642.277.842;7.489.123.081;1
901;3.835.654.258;4.591.213.851;2.344.017.358;7.893.005.264;8.360.378.363;0
740;4.847.549.481;6.795.506.013;2.440.095.612;7.507.103.293;806.502.174;0
654;4.430.796.996;5.997.907.651;3.008.774.172;7.714.450.954;6.714.573.182;1
449;2.181.478.251;5.416.653.314;5.694.339.313;8.336.067.371;8.214.306.828;0
779;2.022.409.872;137.865.859;1.026.768.907;771.271.708;8.485.805.631;0
1674;2.501.620.349;3.624.157.065;2.043.074.697;7.677.232.668;7.464.194.049;0
587;2.455.164.971;4.482.940.586;1.736.345.388;7.655.724.489;7.538.142.282;0
613;3.872.402.408;5.302.400.377;2.258.727.842;8.188.824.943;8.092.081.946;1
691;2.381.064.805;8.001.884.993;147.437.613;7.509.283.672;7.161.194.572;1
866;4.343.461.997;8.022.555.595;3.118.126.963;8.527.476.256;7.764.556.961;1
697;3.813.757.968;1.633.776.818;0.794513633;7.863.404.126;8.672.923.729;0
694;3.286.426.914;5.944.093.433;2.939.865.305;7.614.288.195;6.968.765.833;1
850;2.375.657.382;7.551.966.112;2.569.235;7.713.097.075;8.694.309.762;0
849;4.952.401.864;1.156.760.565;264.499.179;7.772.249.932;7.724.474.175;0
938;30.738.283;7.414.277.238;4.478.904.102;7.609.992.716;7.324.920.895;0
458;2.659.770.109;5.224.569.371;3.099.190.097;7.708.612.355;7.393.579.864;1
878;4.158.025.164;2.537.920.871;1.050.346.611;7.583.222.046;7.673.559.684;1
513;2.482.436.384;5.183.278.841;3.365.111.616;7.570.401.543;7.826.979.114;1
590;3.654.488.533;6.650.566.706;2.850.119.322;8.366.142.859;7.524.973.832;0
893;2.817.946.572;662.062.814;1.567.984.372;7.580.528.798;7.436.295.653;1
748;2.753.083.469;5.715.725.479;5.261.251.561;7.518.527.534;7.910.691.274;1
805;291.303.054;175.689.917;1.746.637.573;7.471.799.504;7.525.512.005;1
563;3.216.518.822;3.501.781.507;155.475.179;7.718.860.576;7.328.979.791;1
976;2.849.036.514;3.180.079.643;11.343.329;7.630.000.531;7.324.670.198;0
643;3.959.626.634;5.833.381.401;179.308.827;8.403.223.687;9.065.796.262;1
864;3.265.051.604;3.891.605.672;1.399.021.488;8.524.299.314;7.745.752.647;1
1108;3.587.614.093;7.152.263.983;1.504.648.152;7.655.715.821;7.742.404.684;1
438;2.874.117.909;637.782.256;220.302.365;8.356.868.787;6.752.711.961;1
678;2.061.297.629;8.749.673.194;176.373.317;7.599.473.881;9.152.366.524;1
795;3.656.956.183;6.081.633.432;4.643.738.687;7.628.480.601;6.868.361.693;1
664;3.978.487.755;7.537.095.002;4.853.973.435;7.641.286.716;8.456.546.386;1
664;4.812.661.613;5.354.230.609;1.285.504.251;7.587.882.262;7.934.871.611;0
644;4.327.723.399;450.773.466;0.956631549;7.661.413.506;748.521.655;0
881;4.591.507.984;4.548.771.534;1.835.620.871;759.503.683;7.528.806.355;1
810;2.986.358.566;6.488.713.782;2.274.243.458;7.836.535.699;78.265.312;1
1107;2.666.871.048;6.131.345.823;1.738.025.184;7.490.104.565;6.842.245.246;1
882;4.841.943.075;5.604.364.431;2.666.664.868;7.656.105.815;8.545.473.634;0
596;4.210.487.323;4.601.446.226;1.313.461.157;8.446.371.135;766.307.949;1
1776;3.648.059.966;5.873.873.853;1.318.789.889;7.648.142.055;7.123.378.647;0
1294;4.417.271.295;1.257.025.147;2.445.931.494;7.741.460.426;7.218.097.953;1
666;2.517.943.454;8.944.874.593;2.781.627.428;7.435.555.721;6.813.692.194;1
442;2.133.638.141;0.314028302;2.667.828.055;7.691.038.906;8.367.252.996;1
885;126.391.793;2.518.659.663;2.914.546.785;845.215.851;8.226.834.396;0
577;3.581.444.453;480.558.017;1.345.729.939;7.650.266.739;7.233.354.093;1
859;2.193.878.565;6.031.276.378;1.303.366.159;7.841.384.221;8.301.253.723;0
585;2.833.766.832;6.689.133.779;2.244.056.735;8.162.466.421;7.061.133.989;0
704;2.267.872.796;1.001.271.618;2.147.507.293;7.624.817.356;8.893.317.269;1
500;2.430.457.286;5.691.030.229;2.336.999.653;7.548.801.696;8.279.542.312;1
577;4.075.805.489;4.969.334.905;2.357.237.688;7.627.309.285;7.650.787.132;1
829;5.460.025.254;6.394.026.297;2.970.531.382;7.566.222.616;7.924.011.618;1
1281;4.093.606.867;466.227.032;1.607.835.565;7.738.513.218;8.009.425.938;0
762;2.423.241.546;4.854.528.255;137.339.073;769.543.318;8.363.761.534;1
1481;3.972.600.005;5.701.679.579;1.556.111.313;7.599.768.995;9.379.160.853;0
1224;2.214.727.486;5.869.446.739;1.721.887.631;8.298.158.331;7.893.874.198;0
1334;3.737.746.178;5.479.429.349;0.783004762;773.176.847;7.376.200.938;1
388;3.141.249.552;3.342.019.626;2.719.029.068;8.191.163.998;7.548.676.565;1
872;2.563.634.809;5.460.596.854;213.097.643;8.287.267.563;6.664.596.447;1
619;4.478.510.777;1.359.343.394;1.226.316.814;8.539.266.838;7.088.431.369;1
1661;3.518.120.833;1.180.290.181;2.951.990.975;7.672.592.091;7.287.272.512;0
654;2.869.503.863;1.534.664.402;1.367.785.037;7.480.520.693;7.891.487.294;0
952;244.869.462;3.988.143.607;1.520.395.761;7.364.641.309;8.201.507.128;1
780;4.164.540.959;701.528.845;232.493.781;8.625.077.987;7.234.937.949;0
658;2.781.480.523;4.397.235.113;1.696.599.595;8.397.901.049;7.303.823.376;1
697;2.449.275.608;4.424.065.691;2.040.593.179;7.592.381.793;8.729.506.389;1
797;3.017.164.546;6.770.727.394;1.913.546.863;7.558.088.756;6.925.287.686;1
449;2.549.285.704;4.350.933.155;3.233.813.178;7.740.213.272;8.048.428.177;1
565;1.692.545.422;7.313.621.357;3.249.909.601;7.440.554.427;8.409.232.153;1
690;5.190.159.252;5.130.944.387;1.520.257.474;8.502.745.829;6.955.042.153;1
618;2.798.816.735;617.482.569;0.942659534;7.527.835.546;7.633.779.257;1
495;4.711.893.493;4.667.762.436;3.060.745.005;8.094.244.115;9.523.455.433;1
833;4.512.386.701;5.047.437.283;2.300.782.809;7.526.660.366;8.461.243.189;0
764;3.828.116.263;4.979.883.117;2.900.889.021;7.733.968.211;7.924.111.987;0
721;3.541.263.916;5.367.468.376;2.289.658.856;7.679.268.294;7.842.414.979;1
739;3.535.458.618;5.915.657.484;1.020.238.959;7.438.178.011;8.197.742.638;0
989;0.726166434;3.189.772.186;1.571.435.972;7.680.935.697;8.473.935.075;0
668;2.077.727.183;6.477.922.753;1.839.531.573;7.736.917.123;7.444.268.178;1
1172;3.282.762.281;1.034.829.734;2.090.401.755;7.805.237.151;7.671.761.855;1
657;2.468.920.686;5.516.645.965;2.760.213.371;7.595.077.867;791.811.119;0
717;332.553.092;7.388.977.164;1.565.634.863;7.721.903.164;8.817.929.158;1
816;3.126.299.099;110.586.131;3.246.944.501;8.482.589.965;7.629.628.594;1
879;3.039.941.985;1.762.921.355;2.594.185.709;7.700.119.004;7.581.380.982;1
711;5.396.527.374;6.161.167.953;2.030.553.064;7.645.694.819;722.832.804;1
819;2.750.351.636;3.156.032.864;2.535.270.894;7.792.618.461;7.414.279.512;1
1411;3.329.394.464;5.411.344.521;140.721.433;7.551.658.876;734.067.854;1
970;5.173.883.251;0.435527221;1.175.465.155;7.639.520.179;6.787.844.623;1
990;40.381.252;5.973.015.356;1.643.291.631;7.613.477.379;8.460.349.535;0
1378;280.844.805;6.069.563.914;1.638.058.372;7.520.653.797;704.464.103;0
929;2.471.971.508;6.597.364.192;3.538.679.127;7.560.880.207;7.588.127.461;0
428;4.015.312.266;4.387.232.694;1.869.855.318;7.561.926.017;9.081.352.924;0
620;1.975.893.666;1.293.603.086;3.415.524.971;7.638.122.197;8.827.501.249;0
925;3.627.445.078;4.513.433.692;2.954.845.392;7.717.481.756;8.671.295.042;0
778;2.731.842.201;4.518.810.363;1.111.431.547;7.812.447.814;7.660.856.745;1
670;2.492.499.635;7.122.014.737;1.280.185.897;8.101.274.421;7.718.424.715;1
1620;1.536.989.094;6.398.304.277;242.389.455;75.163.334;7.734.005.756;0
689;2.441.506.273;9.308.475.785;1.080.504.064;795.628.642;7.324.518.703;0
1321;2.893.330.432;5.216.484.442;1.188.789.089;7.653.906.217;8.109.922.246;0
638;1.940.204.885;1.725.983.559;2.558.749.129;7.664.167.976;6.990.564.495;1
483;2.170.018.205;5.710.811.204;2.251.067.417;7.821.619.313;8.257.104.873;0
644;2.178.557.643;3.506.100.743;1.867.200.429;7.644.382.393;815.890.252;1
801;4.165.308.131;2.003.887.133;3.282.646.158;7.750.001.132;8.179.433.362;1
544;2.835.300.054;4.936.852.212;254.860.082;7.752.426.394;7.682.470.527;0
775;4.190.953.102;7.745.768.318;4.080.837.192;8.179.182.907;7.897.526.317;1
965;3.033.358.697;2.278.427.726;1.297.099.836;7.824.339.773;7.332.716.002;0
970;4.474.405.433;4.268.880.965;2.530.169.065;7.740.082.166;8.301.734.637;1
692;390.012.117;7.049.257.954;1.909.216.319;7.741.321.276;7.782.467.748;1
600;4.978.815.317;5.478.032.067;196.596.001;7.847.903.376;7.134.965.289;0
598;11.663.033;8.209.485.195;245.216.096;7.788.649.193;7.289.761.524;1
1694;3.772.280.912;1.107.112.555;2.174.929.866;7.568.910.669;7.550.529.886;0
719;3.774.826.185;4.936.960.388;2.651.179.204;7.711.806.415;7.790.499.174;0
843;2.440.784.782;63.659.421;1.739.462.748;8.292.946.885;899.549.671;1
1121;3.823.508.155;600.338.822;3.120.429.791;7.700.610.408;7.347.771.439;1
501;299.477.498;447.831.813;1.637.320.865;7.678.483.587;6.397.067.607;0
779;3.740.722.614;7.808.329.661;1.541.833.657;7.587.969.903;6.948.116.684;1
861;2.506.005.539;6.829.980.847;2.286.770.681;7.584.301.896;8.891.946.405;0
780;286.783.303;4.770.536.201;1.408.910.574;75.475.542;7.766.175.843;0
623;2.195.767.764;446.618.155;1.248.517.552;8.323.664.854;7.926.689.652;0
808;1.991.122.417;6.125.850.519;2.744.537.342;7.816.278.946;8.786.718.373;0
1074;3.737.906.137;1.096.807.602;1.625.575.161;7.535.410.921;7.873.236.134;1
740;3.056.827.535;3.683.837.544;2.124.681.329;8.196.455.459;762.781.772;1
800;2.841.431.392;6.841.369.399;1.655.518.342;8.351.191.683;7.031.626.348;1
763;2.526.961.993;4.759.057.395;1.724.618.736;7.759.759.118;8.697.513.439;0
735;3.600.737.521;1.753.670.802;2.772.469.577;7.668.178.035;810.644.829;0
474;2.372.313.395;9.212.597.586;0.76771055;8.659.158.833;8.625.552.489;1
666;3.309.324.648;517.202.472;0.262600613;7.631.671.718;8.638.672.994;1
858;2.740.992.298;1.221.937.836;1.114.087.748;8.060.320.127;8.545.312.207;0
819;1.964.465.891;8.280.937.231;2.355.673.709;7.487.857.891;680.609.734;1
399;1.616.966.609;1.208.420.404;1.976.504.482;7.581.905.079;7.547.314.341;1
1030;3.215.202.878;7.902.835.964;2.038.030.342;7.654.294.245;7.128.515.292;1
620;2.490.412.021;333.418.469;1.042.336.434;7.780.023.973;8.691.208.597;0
1459;2.993.030.147;1.486.966.956;1.745.653.813;7.797.271.433;8.421.268.905;1
913;3.579.091.873;3.160.604.993;2.805.944.002;7.806.472.222;7.021.188.544;1
593;2.362.149.622;6.135.191.403;1.211.968.063;7.734.780.683;7.451.319.051;1
391;2.073.258.636;1.082.307.721;1.632.910.991;7.609.983.844;7.432.658.699;1
718;5.350.954.462;2.938.806.158;3.194.436.139;7.512.708.362;7.705.350.991;1
626;4.040.809.654;6.296.280.956;2.758.977.449;7.860.073.324;8.351.737.827;0
1058;0.57937415;5.740.930.511;2.244.358.497;8.192.085.432;7.906.874.769;0
805;2.266.602.917;6.697.597.147;0.155649761;8.194.656.804;8.236.303.583;1
794;5.060.360.314;8.134.557.547;2.057.678.451;8.219.162.577;844.368.073;1
963;270.588.335;7.155.380.363;6.151.323.455;7.736.978.827;7.541.650.773;0
895;3.787.666.275;5.626.424.687;2.444.182.626;7.606.546.036;8.131.894.986;0
562;376.044.811;8.619.020.303;2.668.799.226;7.376.683.309;8.406.245.114;1
924;3.503.636.823;8.331.432.367;1.175.183.395;7.662.563.683;7.225.480.208;0
535;3.749.576.817;4.412.681.253;2.327.189.854;8.176.736.141;7.411.808.511;0
636;4.035.666.015;6.981.595.773;1.517.036.249;7.852.841.211;7.332.198.505;1
896;2.687.259.217;5.106.726.664;4.868.988.253;7.835.161.146;7.907.773.315;1
1256;2.307.970.944;5.620.646.088;2.507.053.699;7.779.832.927;8.342.495.911;0
1334;3.877.046.868;662.564.613;1.109.298.619;7.992.586.546;8.127.620.476;0
911;5.064.813.888;7.939.205.502;2.869.245.424;773.200.312;779.019.753;1
1435;2.623.801.722;8.572.543.197;2.309.843.193;7.619.896.602;9.004.585.756;0
761;3.419.064.964;535.965.649;1.638.043.005;7.593.628.293;7.042.744.757;1
1366;4.149.745.828;554.838.358;2.258.294.895;8.092.530.049;7.823.179.043;1
552;3.913.291.816;4.786.406.401;3.747.532.148;7.777.133.679;880.874.394;1
701;3.072.903.006;2.875.460.079;1.531.374.512;7.637.243.677;7.733.280.416;0
710;428.783.806;1.616.594.997;2.560.724.337;7.381.037.555;710.751.473;1
881;4.508.584.397;1.823.706.738;2.611.214.434;7.363.149.225;8.622.380.009;0
388;2.959.983.992;1.282.881.802;1.517.932.149;8.194.628.375;7.063.155.778;1
737;4.621.479.399;5.908.824.889;1.831.711.407;7.761.340.829;7.089.634.298;1
669;4.916.708.538;3.812.912.441;3.056.460.265;7.414.268.768;7.431.645.252;0
663;2.244.654.644;2.923.399.719;2.102.534.969;7.386.854.525;7.651.287.375;1
1033;3.229.125.825;6.051.614.999;2.186.849.669;7.761.406.156;8.295.607.829;1
544;204.929.961;4.292.368.074;4.914.337.108;7.571.054.384;9.407.309.357;1
502;4.450.185.373;5.187.412.552;2.301.391.796;7.459.122.052;7.807.530.236;1
1000;3.296.396.721;3.809.594.953;2.263.667.878;7.561.763.641;8.973.362.683;1
1154;3.319.094.211;1.999.086.201;1.277.658.326;8.215.168.618;7.813.854.997;0
801;3.223.139.318;1.062.407.743;2.028.256.825;7.487.079.172;8.446.720.455;1
665;376.645.578;499.443.944;1.779.222.159;77.411.579;8.251.709.283;1
963;1.860.025.498;4.713.369.672;1.817.198.766;7.623.397.889;8.334.901.283;0
582;4.331.407.503;1.029.785.707;4.251.674.202;775.824.004;8.789.711.135;0
481;3.967.326.699;8.721.202.436;2.212.565.165;7.830.909.627;813.657.434;1
537;4.349.171.427;5.235.084.955;3.500.016.983;7.756.512.708;8.439.419.559;1
904;158.635.918;7.532.629.711;1.351.027.396;7.789.293.307;8.159.382.536;1
739;3.450.818.081;6.902.708.899;1.322.024.431;7.774.944.294;7.765.847.196;1
1331;4.214.476.826;3.231.521.189;2.080.049.324;8.373.460.583;7.445.206.159;0
536;3.908.921.658;7.415.393.795;2.544.380.421;8.455.627.801;8.526.739.442;1
512;2.503.028.123;6.384.516.498;1.759.595.224;7.592.649.733;6.917.384.119;0
1046;1.699.897.976;5.904.739.463;259.087.353;7.956.981.266;6.740.503.794;1
630;4.211.055.499;7.043.989.472;2.798.201.015;7.446.290.377;7.772.833.586;1
530;4.601.008.641;7.371.770.259;3.304.200.119;7.647.265.978;7.206.043.302;1
709;2.809.189.491;7.388.941.976;2.659.268.414;7.582.708.769;8.568.049.186;1
501;2.877.292.426;6.562.203.857;2.273.539.013;7.708.120.593;8.331.447.358;1
1286;5.123.405.337;3.826.147.648;3.254.757.157;7.736.771.884;718.645.535;1
524;3.223.531.922;8.185.101.829;1.864.353.329;7.928.166.436;6.835.636.908;1
980;3.534.892.935;9.049.000.477;102.072.074;7.679.780.933;8.001.259.821;0
571;3.562.234.894;7.634.627.697;2.680.775.148;7.631.956.202;6.989.012.285;1
541;3.106.032.156;635.737.297;1.723.225.484;7.665.431.812;8.609.074.175;1
422;2.800.016.094;9.509.489.124;1.308.560.751;771.760.091;7.152.253.542;1
430;2.204.474.841;5.465.012.499;3.322.512.546;7.758.549.323;7.706.680.054;1
778;1.816.552.073;3.484.873.143;4.932.171.294;7.696.896.917;9.359.854.514;0
861;2.800.656.627;4.493.413.967;3.052.897.981;8.525.899.559;6.676.317.808;1
801;4.844.748.811;5.800.132.136;1.122.829.918;8.139.952.372;8.406.258.244;1
588;2.279.882.569;6.519.157.307;1.870.973.735;7.567.549.622;7.337.826.669;0
709;2.041.255.051;5.204.610.104;2.546.201.765;7.593.220.451;8.021.703.813;1
1161;3.917.831.065;4.313.888.583;1.856.955.376;7.542.774.511;7.467.580.475;1
1509;2.019.219.865;5.066.364.734;1.215.184.528;7.530.299.588;9.013.896.995;1
805;2.360.811.182;3.327.082.866;2.911.210.625;7.668.551.918;8.604.908.446;0
655;4.155.320.261;8.471.903.672;3.378.533.434;8.170.732.285;7.880.529.701;1
517;2.689.715.155;5.210.714.194;2.781.936.729;7.552.423.805;8.005.967.356;0
591;4.028.301.931;4.070.511.474;1.812.845.755;7.849.083.331;8.391.410.103;1
696;1.821.536.839;6.976.635.097;2.645.536.607;7.759.272.421;8.336.132.238;0
780;2.594.671.525;525.603.517;2.114.896.407;7.499.287.021;7.552.746.711;0
866;3.591.858.552;5.766.891.163;212.715.587;748.821.863;6.733.672.702;0
749;3.658.544.748;6.224.741.423;1.830.673.611;7.655.675.054;8.864.465.041;0
1040;2.405.620.624;4.027.048.735;2.310.443.897;7.764.123.326;7.822.876.958;0
1327;5.087.356.467;5.781.094.109;2.286.023.079;8.754.407.157;7.236.174.151;0
482;2.147.541.959;6.791.549.905;1.694.399.697;775.420.809;7.572.898.029;0
1128;3.071.798.151;8.674.373.081;1.455.921.571;7.766.240.902;7.166.781.046;1
823;3.139.223.334;1.061.133.234;3.108.060.926;7.566.364.503;7.109.794.903;1
481;400.227.243;6.414.769.892;262.245.543;7.651.218.219;797.703.121;0
715;3.391.693.931;6.977.153.879;3.127.147.077;7.686.964.175;8.790.080.895;0
777;2.878.184.831;5.310.217.663;192.796.711;773.427.578;9.010.934.981;0
489;2.658.754.062;922.885.607;1.440.676.698;7.541.804.088;7.227.827.768;1
2143;3.853.206.431;5.925.107.221;1.680.421.141;7.438.747.862;7.249.846.715;0
546;4.851.892.187;3.735.397.979;1.739.177.599;7.444.467.104;7.639.858.175;1
997;4.416.057.798;6.087.603.739;1.996.547.469;8.413.125.189;8.128.544.233;0
840;238.850.886;5.910.935.982;2.867.046.316;7.762.074.556;8.587.196.062;0
885;2.595.258.832;6.281.356.915;1.306.826.289;7.801.662.549;8.299.573.444;1
897;3.410.800.042;4.636.446.543;2.362.026.558;7.744.752.392;8.100.984.162;0
983;2.262.431.298;6.521.835.644;3.415.522.659;8.039.118.402;8.532.117.413;0
722;3.775.291.779;2.813.665.785;1.621.221.584;7.732.992.076;8.361.454.428;0
1067;4.434.499.033;4.109.890.158;2.596.118.485;7.735.028.763;7.704.324.442;0
542;4.254.908.285;8.099.125.506;1.634.836.672;778.476.894;8.256.585.805;1
691;419.682.616;5.681.365.047;0.413226196;7.610.441.351;7.969.139.668;1
499;1.954.928.139;8.795.584.313;7.478.504.946;7.509.981.779;6.962.034.279;1
973;1.745.771.099;4.873.722.624;0.951156685;7.468.796.365;8.104.747.923;1
946;3.849.383.377;6.707.001.242;4.278.407.392;7.763.406.592;7.940.818.217;0
594;2.815.001.427;5.785.647.553;2.620.107.064;747.189.057;7.233.769.303;1
976;339.895.702;4.262.822.449;3.320.656.003;8.115.031.266;7.316.137.196;0
572;4.425.364.303;6.432.936.316;2.668.228.874;7.722.501.746;8.312.086.873;0
621;3.212.518.971;1.170.841.376;2.347.319.063;775.550.223;8.936.292.788;1
1235;2.925.276.875;5.589.505.083;2.756.010.986;8.593.315.531;6.661.064.249;1
1007;395.716.375;7.097.336.389;4.006.331.779;7.480.680.614;7.453.677.104;1
569;3.149.942.157;8.260.608.254;278.801.616;7.607.792.719;8.420.029.673;1
923;2.965.317.209;59.397.089;4.128.663.109;774.185.536;7.381.682.768;1
654;3.889.446.798;6.338.459.494;3.438.980.783;7.820.383.921;8.451.594.621;0
1032;2.187.449.269;0.802338474;1.484.003.364;8.438.738.912;8.418.781.183;1
768;3.930.075.806;8.669.401.284;1.477.826.486;7.645.760.825;7.476.368.522;1
1041;2.710.782.286;5.166.483.134;1.005.668.985;7.580.007.221;7.581.781.182;0
647;3.086.512.164;8.270.053.285;3.066.045.636;7.709.138.972;7.052.732.732;0
500;5.399.561.339;1.396.014.886;3.026.601.004;8.293.238.211;675.225.927;1
412;3.053.376.119;436.654.156;5.385.198.222;760.441.276;8.979.459.079;0
549;3.374.475.497;572.738.184;1.942.505.323;7.973.734.362;7.919.694.687;1
1031;2.441.322.241;4.167.830.604;2.726.957.259;7.741.626.471;6.920.891.404;0
790;4.763.694.361;8.891.062.982;331.138.837;8.143.625.602;690.106.841;0
1032;2.743.544.067;8.270.690.131;2.676.869.126;7.570.625.148;7.036.320.683;0
924;3.258.789.351;6.835.463.353;2.062.347.386;7.656.397.175;757.992.831;0
499;2.237.017.844;6.676.767.864;2.152.286.883;7.592.423.307;6.797.268.081;1
544;3.573.358.565;4.029.156.016;2.296.087.141;7.711.855.499;6.689.852.737;1
505;429.602.848;6.603.779.859;1.929.350.027;820.680.808;8.577.671.551;1
885;3.187.193.468;7.628.478.897;2.919.921.011;8.104.656.257;8.677.722.259;1
882;437.445.591;3.925.168.842;2.210.078.633;7.615.327.875;7.636.820.161;0
936;2.940.127.611;5.477.091.915;1.363.026.625;7.776.732.805;7.745.324.168;1
788;343.029.847;3.310.953.735;1.945.210.006;7.462.605.528;8.535.587.049;0
610;3.216.234.911;3.987.396.883;3.701.799.793;7.675.480.669;82.760.357;0
428;2.322.199.422;6.124.861.525;1.135.874.698;7.905.349.107;811.544.641;1
738;2.223.118.357;6.593.811.189;220.141.551;7.464.100.054;8.061.457.378;0
517;1.845.045.939;4.534.602.727;2.851.049.588;7.775.789.942;7.963.173.554;1
667;3.033.921.531;5.834.819.421;2.038.694.957;7.838.363.986;716.945.578;1
554;2.306.515.589;934.525.279;2.797.016.163;7.704.629.608;8.036.764.896;1
586;2.179.880.721;6.722.774.867;2.732.387.526;8.249.132.521;7.587.484.055;0
957;2.864.088.192;6.208.948.057;2.545.857.494;7.601.892.631;8.453.968.777;1
648;1.929.845.223;7.745.250.072;1.627.197.865;8.128.162.848;9.057.875.638;1
1009;4.155.122.309;7.459.583.237;3.038.278.547;825.224.274;8.700.739.224;1
629;3.729.362.006;7.120.917.667;2.456.310.435;8.233.275.985;9.176.116.725;1
915;4.008.496.774;5.455.346.274;2.498.977.717;8.461.274.189;8.925.638.403;0
371;2.488.661.801;507.480.778;1.900.460.601;7.484.327.152;7.532.020.664;1
898;3.162.766.965;1.358.341.972;1.242.296.723;8.131.174.434;8.501.525.963;0
495;3.541.827.446;4.438.543.557;1.428.871.405;7.648.639.841;7.852.609.268;1
914;3.586.253.409;4.453.000.127;2.676.788.188;8.509.802.601;9.217.334.001;1
1168;1.890.517.436;3.894.231.096;1.842.436.594;7.815.795.681;8.718.967.365;1
707;2.634.857.565;4.488.514.571;2.391.427.213;8.586.741.582;7.069.068.079;0
574;245.406.964;8.334.916.112;4.187.982.181;7.634.289.433;7.268.553.301;1
